Title,Link,Description,Stars
lbrndnr/nutshell-macos,https://github.com/lbrndnr/nutshell-macos,An AI -powered note - taking app for your meetings. Built for macOS using SwiftUI.,6
auxi-pilot/Auxi-Note,https://github.com/auxi-pilot/Auxi-Note,A note taking app with AI features,2
gagan257/Brain-Flows,https://github.com/gagan257/Brain-Flows,Intelligent note taking Web App with AI Integration,3
kaushalsahu07/Note-App,https://github.com/kaushalsahu07/Note-App,Note Taking & Password Manager App Made By AI,2
chhoumann/auralite,https://github.com/chhoumann/auralite,"AI assistant for Obsidian. Create notes by voice, transcribe speech, and write with AI . Seamlessly integrates with your vault to enhance n…",8
RainPadjus/VoiceNotesAI,https://github.com/RainPadjus/VoiceNotesAI,VoiceNotesAI is a powerful note - taking app that transcribes voice notes and processes them using AI for meaningful summaries. It's built …,5
Martons00/PolitoSbobinatore,https://github.com/Martons00/PolitoSbobinatore,A chain of AI models to simplify note - taking at university.,4
TopDeveloper705/logseq-plugin-gpt3-openai,https://github.com/TopDeveloper705/logseq-plugin-gpt3-openai,A plugin for GPT-3 AI assisted note taking in Logseq,4
Indu-Chandana/AIdeation-AI,https://github.com/Indu-Chandana/AIdeation-AI,Automatic Note Taking assistant with image generation helps with openAI DALL.E apis,3
maheshpaulj/NoteScape,https://github.com/maheshpaulj/NoteScape,"NoteScape is a powerful note - taking app featuring bulletins, to-dos, image uploads, and an AI assistant. Built with Next.js 14, Firebase,…",9
impruthvi/ai-notes,https://github.com/impruthvi/ai-notes,AI Notes is a web application that simplifies note - taking by providing auto-completion for your notes and generating images to enhance your,5
EvannZhongg/AI-Note,https://github.com/EvannZhongg/AI-Note,A desktop multi-functional note - taking software that can be connected with artificial intelligence,2
AmeenUrRehman/NotesBrainy,https://github.com/AmeenUrRehman/NotesBrainy,A notes taking tool with AI -Powered Text Summarization and Speech Recognition technology,2
Delavalom/notion-ai-toolbar-extension,https://github.com/Delavalom/notion-ai-toolbar-extension,AI assistant for your favourite editor/ note - taking app: quickly and easily access AI -driven features,4
lukehsiao/dot-grid,https://github.com/lukehsiao/dot-grid,Source AI file and PDFs for printing 5mm dot grid note - taking paper.,4
Scribble-WinterProject/Scribble,https://github.com/Scribble-WinterProject/Scribble,"Scribble is an AI powered note taking application that provide easy notetaking , AI bot to answer all your questions and a place to store…",1
DugboTek/NoteTakingAI,https://github.com/DugboTek/NoteTakingAI,AI that takes notes for you,1
BellowAverage/PolarisNote,https://github.com/BellowAverage/PolarisNote,An AI -Enhanced Note - Taking Web Application with Advanced Retrieval-Augmented Generation,2
priyankasoni930/NoteWave,https://github.com/priyankasoni930/NoteWave,AI voice Note taking app with Chat with youtube video and pdf,2
vusal5555/Ai-NoteTaking,https://github.com/vusal5555/Ai-NoteTaking,No description,0
tanaygodse/AI-NoteTaking-App,https://github.com/tanaygodse/AI-NoteTaking-App,CS256 AI Note Taking Project,0
JumppanenTomi/NoteSnap,https://github.com/JumppanenTomi/NoteSnap,NoteSnap is an advanced note application that not only incorporates fundamental note - taking features but also offers additional functiona…,4
udaykumar18/AI-Notes-TakingAppFE,https://github.com/udaykumar18/AI-Notes-TakingAppFE,No description,0
udaykumar18/AI-Notes-TakingApp_API,https://github.com/udaykumar18/AI-Notes-TakingApp_API,No description,0
TeaghanEveleigh/NOTES.AI,https://github.com/TeaghanEveleigh/NOTES.AI,This is an ai note taking app that generates notes based off a users prompts,2
wub53/AI_NoteTaking_APP,https://github.com/wub53/AI_NoteTaking_APP,No description,0
Carsarefast765/note-taking_AI,https://github.com/Carsarefast765/note-taking_AI,No description,0
hadeebataj/ai-note-taking,https://github.com/hadeebataj/ai-note-taking,No description,0
BlieSoft-inc/AI-Note-Taking,https://github.com/BlieSoft-inc/AI-Note-Taking,AI Note - taking App (ভয়েস থেকে টেক্সট বা অটোমেটিক সামারি)।,0
